Designator,Mid X,Mid Y,Rotation,Layer
R49,12.873225,137.576778,270.0,top
R5,17.735641,154.577662,0.0,top
R50,17.373224,137.576777,270.0,top
R51,26.123223,129.0,0.0,top
R52,15.123225,137.576779,270.0,top
R53,26.123226,131.3,0.0,top
R54,29.960723,113.226777,0.0,top
R55,26.123225,126.726778,180.0,top
R56,26.123224,119.976778,180.0,top
R57,28.623222,140.326778,270.0,top
R58,22.623225,140.326778,270.0,top
R59,26.123223,122.226777,0.0,top
R6,22.160641,154.577662,180.0,top
R60,85.548141,44.877662,180.0,top
R61,79.560641,47.377662,180.0,top
R62,85.548141,47.377662,0.0,top
R63,90.221281,42.377662,0.0,top
R64,74.960641,42.377662,0.0,top
R65,79.5325,44.877662,180.0,top
R66,90.221281,47.377662,0.0,top
R67,74.960641,47.377662,180.0,top
R68,8.123222,126.326778,0.0,top
R69,26.123226,110.976778,180.0,top
R7,37.060141,196.212662,180.0,top
R70,85.548141,42.377662,180.0,top
R71,90.221281,44.755325,180.0,top
R72,79.5325,42.377662,0.0,top
R73,74.960641,44.877662,0.0,top
R74,15.623224,144.326777,0.0,top
R75,19.285724,144.326776,180.0,top
R76,38.635641,176.277662,0.0,top
R77,78.735641,190.427662,0.0,top
R78,78.748141,188.177662,0.0,top
R8,5.4,171.56,0.0,top
R9,5.4,174.040001,0.0,top
TP1,110.899998,184.05,180.0,top
TP10,7.648141,43.927662,0.0,top
TP11,132.618852,155.676951,270.0,top
TP2,131.400001,100.2,0.0,top
TP3,123.250001,196.149999,0.0,top
TP4,87.520478,169.775802,270.0,top
TP5,97.820478,169.925802,270.0,top
TP6,22.623224,136.576778,90.0,top
TP7,28.623223,136.576778,90.0,top
U1,85.770479,177.025802,90.0,top
U10,126.218852,163.706951,270.0,top
U2,11.9,172.8,270.0,top
U3,11.9,188.3,270.0,top
U4,67.700001,123.449999,180.0,top
U5,67.450001,139.85,180.0,top
U6,90.4,125.537338,0.0,top
U7,105.2,118.8,0.0,top
U8,50.049999,140.9,180.0,top
U9,32.498141,178.227662,270.0,top
